wallet_address,winrate,all_pnl,avatar,avg_holding_peroid,balance,buy,buy_30d,buy_7d,ens,eth_balance,followers_count,history_bought_cost,is_contract,last_active_timestamp,name,pnl,pnl_2x_5x_num,pnl_30d,pnl_7d,pnl_gt_5x_num,pnl_lt_2x_num,pnl_lt_minus_dot5_num,pnl_minus_dot5_0x_num,profit_num,realized_profit,realized_profit_30d,realized_profit_7d,refresh_requested_at,risk,risk_fast_tx,risk_fast_tx_ratio,risk_no_buy_hold,risk_no_buy_hold_ratio,risk_sell_pass_buy,risk_sell_pass_buy_ratio,risk_token_active,risk_token_honeypot,risk_token_honeypot_ratio,sell,sell_30d,sell_7d,sol_balance,tag_rank_fresh_wallet,tags,token_avg_cost,token_num,token_sold_avg_profit,total_profit,total_profit_pnl,total_value,trx_balance,twitter_bind,twitter_fans_num,twitter_name,twitter_username,unrealized_pnl,unrealized_profit,updated_at
6VBWNKezNFrVz9jCh5qrUXz8ZoySLEZvpyBHLqF9R28Y,,17.94%,,,8.08578759400000000000,56,56,56,,8.08578759400000000000,0,,False,2025-01-31 18:54:09,,17.94%,,17.94%,17.94%,,,,,,"$1,419.30","$1,419.30","$1,419.30",,,0,0.00%,1,12.50%,0,0.00%,7,0,0.00%,67,67,67,8.08578759400000000000,,[],,,,"$2,268.35",27.98%,"$1,044.64",8.08578759400000000000,False,0,,,10.33%,$849.05,2025-01-31 18:54:09
FW2PJkHDm9HpVcnR2MKbP2urd8u2buJQkQWogxnw7Fja,46.67%,-1.97%,,"2 days, 11 hours, 48 minutes, 38 seconds",0.35231139300000000000,159,175,159,,0.35231139300000000000,0,"$7,617.80",False,2025-01-30 06:00:30,,-1.62%,0.00%,-1.97%,-1.62%,0.00%,800.00%,600.00%,200.00%,$7.00,"$-1,013.97","$-1,013.97",$-796.55,,,,,,,,,,,,221,229,221,0.35231139300000000000,,['photon'],$476.11,16,$-49.78,"$-1,794.73",-3.13%,"$5,079.55",0.35231139300000000000,False,0,,,-1.35%,$-780.76,2025-01-30 06:00:30
FDiVPpzjfbwxvjjqUSVrqFcCS7CG8aY9WWnxSsMWuj5W,100.00%,137.22%,,"2 days, 18 hours, 59 minutes, 6 seconds",1.48944377300000000000,11,33,11,,1.48944377300000000000,0,$397.02,False,2025-01-29 20:44:36,,96.16%,100.00%,87.42%,96.16%,0.00%,1000.00%,0.00%,0.00%,$8.00,$124.08,$124.08,$110.15,,,0,0.00%,2,15.38%,0,0.00%,11,0,0.00%,14,16,14,1.48944377300000000000,,['bullx'],$36.09,11,$10.01,$-359.08,-10.68%,"$2,006.68",1.48944377300000000000,False,0,,,-28.23%,$-934.97,2025-01-29 20:44:36
Gvp8oQCJh9iwyDAjW7tSt9J5FismTmBctiBf8xDX6wg8,81.82%,20.38%,,"0 days, 21 hours, 14 minutes, 48 seconds",3.22747126600000000000,235,237,235,,3.22747126600000000000,0,"$11,797.88",False,2025-01-30 05:50:06,,42.48%,100.00%,55.70%,42.48%,200.00%,1500.00%,0.00%,400.00%,$18.00,"$63,228.60","$63,228.60","$48,115.67",,,,,,,,,,,,328,340,328,3.22747126600000000000,,[],$536.27,22,"$2,187.08","$87,193.81",26.56%,"$21,639.25",3.22747126600000000000,False,0,,,6.24%,"$20,519.56",2025-01-30 05:50:06
HEmg53AvjtCejY3NgqhF3dff5uJQPaLPiHU8GsJU7WzG,47.79%,34.28%,,"2 days, 7 hours, 16 minutes, 12 seconds",0.26820498600000000000,597,1047,597,,0.26820498600000000000,0,"$5,412.40",False,2025-01-31 15:30:08,,23.19%,500.00%,-6.13%,23.19%,700.00%,9500.00%,3700.00%,5800.00%,$54.00,"$-1,548.84","$-1,548.84","$1,880.42",,,,,,,,,,,,538,1052,538,0.26820498600000000000,,"['bullx', 'trojan']",$26.79,202,$9.31,"$15,382.46",27.87%,"$1,206.66",0.26820498600000000000,False,0,,,-3.87%,"$-2,329.34",2025-01-31 15:30:08
5sc5JnefFVyu9AVYHzXNmEBZPXU9Lhq6LhWR5cm9JgoM,64.52%,25.22%,,"23 days, 0 hours, 13 minutes, 27 seconds",16.48054457800000000000,226,249,226,,16.48054457800000000000,0,"$10,928.90",False,2025-01-30 23:28:59,,23.80%,100.00%,23.08%,23.80%,0.00%,600.00%,0.00%,100.00%,$20.00,"$30,124.68","$30,124.68","$30,634.37",,,,,,,,,,,,186,198,186,16.48054457800000000000,,['bluechip_owner'],"$1,366.11",8,"$3,829.30","$48,697.70",31.71%,"$12,082.87",16.48054457800000000000,False,0,,,6.35%,"$10,388.91",2025-01-30 23:28:59
7ACBAs2CmUbsNDEAWMsc46XcBzDjRTbTJzmAzK5tuy2s,61.11%,18.72%,,"0 days, 3 hours, 41 minutes, 9 seconds",0.45446454100000000000,117,117,117,,0.45446454100000000000,0,"$116,123.31",False,2025-01-31 08:43:09,,18.72%,0.00%,18.72%,18.72%,0.00%,2200.00%,200.00%,1200.00%,$22.00,"$18,543.75","$18,543.75","$18,543.75",,,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,175,175,175,0.45446454100000000000,,[],"$3,225.65",36,$515.10,"$29,688.78",29.97%,"$11,145.03",0.45446454100000000000,False,0,,,9.60%,"$11,145.03",2025-01-31 08:43:09
8i5x6j11u7K1mJVrgCqpMj6R5Sv6TZUxvhgLoZAzzVpi,95.00%,78.14%,,"0 days, 0 hours, 14 minutes, 37 seconds",0.00488908200000000000,36,36,36,,0.00488908200000000000,0,"$8,109.34",False,2025-01-30 04:03:12,,78.14%,200.00%,78.14%,78.14%,0.00%,1700.00%,0.00%,100.00%,$19.00,"$6,336.32","$6,336.32","$6,336.32",,,0,0.00%,1,50.00%,0,0.00%,1,0,0.00%,60,60,60,0.00488908200000000000,,[],$405.47,20,$316.82,"$6,227.81",74.42%,$150.35,0.00488908200000000000,False,0,,,-1.34%,$-108.51,2025-01-30 04:03:12
4B6i3z4aAGWwwixdUJb92Kxkd3PgcHbUrt2Zi7LP1ndK,70.97%,59.58%,,"0 days, 0 hours, 3 minutes, 45 seconds",3.39798925800000000000,67,77,67,,3.39798925800000000000,0,"$10,763.11",False,2025-01-31 06:59:25,,64.43%,100.00%,59.58%,64.43%,0.00%,2100.00%,0.00%,900.00%,$22.00,"$8,407.22","$8,407.22","$8,682.87",,,2,11.76%,1,5.56%,0,0.00%,17,0,0.00%,69,72,69,3.39798925800000000000,,[],$347.20,31,$280.09,"$8,407.22",59.58%,$10.26,3.39798925800000000000,False,0,,,0.00%,$0.00,2025-01-31 06:59:25
HighDYcKVXpYJdukBXNdHZ8Kb5qZnR8Hn6aYuWS1SSnu,90.00%,71.46%,,"3 days, 8 hours, 14 minutes, 34 seconds",1.03010125500000000000,63,79,63,,1.03010125500000000000,0,"$1,587.78",False,2025-01-30 03:00:07,,145.80%,0.00%,152.36%,145.80%,200.00%,1600.00%,0.00%,1400.00%,$9.00,"$2,494.39","$2,494.39","$2,178.32",,,0,0.00%,1,5.00%,0,0.00%,19,4,21.05%,32,40,32,1.03010125500000000000,,['photon'],$49.62,32,$68.07,"$2,133.24",27.55%,"$3,236.31",1.03010125500000000000,False,0,,,-6.91%,$-633.76,2025-01-30 03:00:07
